target,text,length,words,hasTitle,hasContent,hasLang,hasCountry1,hasCountry2,hasCountry3,hasCountry4,num_countries
0.0,african union au valid covidorgan malagasi remedi 2019ncov new coronavirus,108,14,0,0,0,1,1,1,1,4
0.0,video muslim fruitvendor spit fruit spread coronavirus,75,12,0,0,0,1,1,1,1,4
0.0,video show alleg hotel owner new york jump window fire employe hotel went bankrupt lockdown polici,164,29,0,0,0,1,1,1,1,4
0.0,post claim presid donald trump announc roch diagnost launch vaccin covid19,110,16,0,0,0,1,1,1,1,4
0.0,imag medic facil share claim indian armi set 1000bed hospit rajasthan coronavirus pandem,148,24,0,0,0,1,1,1,1,4
0.0,spread new coronavirus plan rockefel year ago,77,13,0,1,1,0,0,0,0,0
0.0,imag claim chroma screen panel coronavirus death,88,15,0,0,0,1,1,1,1,4
0.0,claim footbal star cristiano ronaldo convert hotel chain coronavirus hospit,101,14,0,0,0,1,1,1,1,4
0.0,video muslim violat lockdown condit old citi hyderabad,72,10,0,0,0,1,1,1,1,4
0.0,princ charl infect coronavirus meet indian singer kanika kapoor,87,12,0,0,0,1,1,1,1,4
0.0,social media user share photo claim center global human popul reduct affili bill melinda gate foundat,161,26,0,0,0,1,1,1,1,4
0.0,claim 500 bodi bag deliv ice skate rink outsid australian citi adelaid share wide facebook novel coronavirus pandem,179,30,0,0,0,1,1,1,1,4
0.0,presid donald trump refer coronavirus hoax polit conspiraci,90,13,0,0,0,1,1,1,1,4
0.0,chloroquin effect prove,43,5,0,0,0,1,1,1,1,4
0.0,person coronavirus andorra 21020,52,9,0,0,0,1,1,1,1,4
0.0,tunisia announc come hour sea air land border close counter covid19,115,20,0,1,1,0,0,0,0,0
0.0,turkish presid erdoğan declar curfew covid19,65,10,0,1,0,1,1,1,1,4
0.0,audio clip suggest advis lockdown,60,11,0,0,0,1,1,1,1,4
0.0,say certain state ban sale alcohol,53,9,0,0,0,1,1,1,1,4
0.0,india tv telecast news bollywood actor shahrukh khan donat 450 million 45 crore rupe pakistan oil tanker blast victim,136,21,0,0,0,1,1,1,1,4
0.0,studi initi militari research institut transform form virus 2018,98,15,0,1,0,1,1,1,1,4
0.0,donald trump claim usa test countri combin,86,14,0,0,0,1,1,1,1,4
0.0,5g frequenc negat affect oxygen absorbion human bodi worsen symptom covid19,118,19,1,1,0,1,1,1,1,4
0.0,bill gate popul control coronavirus vaccin,71,10,0,0,0,1,1,1,1,4
0.0,having beard increas chanc get coronavirus,62,9,0,1,1,0,0,0,0,0
0.0,photo share hundr time multipl facebook post claim show doctor nurs itali die covid19,141,25,0,0,0,1,1,1,1,4
0.0,kenyan govern minist show middl finger coronavirus idiot televis press confer,115,16,0,0,0,1,1,1,1,4
0.0,articl say britain pull 5g contract chines compani huawei test kit found contamin coronavirus,157,26,0,0,0,1,1,1,1,4
0.0,china ask permiss kill 20000 infect case,57,9,0,0,0,1,1,1,1,4
0.0,japanes doctor tasuku honjo say coronavirus natur,71,11,0,0,0,1,1,1,1,4
0.0,germani unit state best death 100000 peopl frank that import number,153,26,0,0,0,1,1,1,1,4
0.0,patient infect coronavirus kill drug dealer,64,10,0,0,0,1,1,1,1,4
0.0,video migrant labour come street ahmedabad india lack ration provid covid19 crisi lockdown regul,164,26,0,0,0,1,1,1,1,4
0.0,video purport attack doctor aveng policemen,71,12,0,0,0,1,1,1,1,4
0.0,ambul health care worker transport coronavirus patient hagu netherland dress white protect suit,136,19,0,0,0,1,1,1,1,4
0.0,photo moroccan infect virus,63,12,0,0,0,1,1,1,1,4
0.0,armi deploy respond covid19 pandem,53,9,0,0,0,1,1,1,1,4
0.0,fals wednesday curfew effect 14 day costa rica,81,17,0,0,0,1,1,1,1,4
0.0,pavilion open fraga huesca increas number covid19 case,96,18,0,0,0,1,1,1,1,4
0.0,video bollywood actor aamir khan donat 250 crore fight aganist covid19,90,15,0,0,0,1,1,1,1,4
0.0,shouldnt open window,33,5,0,0,0,1,1,1,1,4
0.0,tweet donald trump 2009 said let thousand american die pandem,109,20,0,0,0,1,1,1,1,4
0.0,china seek court approv kill 20000 coronavirus patient stop spread outbreak,104,17,0,0,0,1,1,1,1,4
