target,text,length,words,hasTitle,hasContent,hasLang,hasCountry1,hasCountry2,hasCountry3,hasCountry4,num_countries
0.0,claim coronavirus fake belarus cope pandem hysteria,98,16,0,0,0,1,1,1,1,4
0.0,muammar gaddafi predict current coronavirus pandem warn creat peopl sell antidot,148,23,0,0,0,1,1,1,1,4
0.0,video show quarantin peopl build shanghai,58,9,0,0,0,1,1,1,1,4
0.0,video show massiv explos wuhan china control spread coronavirus,89,15,0,0,0,1,1,1,1,4
0.0,chlorin dioxid cure coronavirus,40,5,0,0,0,1,1,1,1,4
0.0,ivermectin cure covid19,37,6,0,0,0,1,1,1,1,4
0.0,teen spit tea bottl spread coronavirus,55,9,0,0,0,1,1,1,1,4
0.0,video post facebook claim chloroquin azithromycin proven cure covid19,99,15,0,0,0,1,1,1,1,4
0.0,turkish raki prevent covid19,32,4,0,1,0,1,1,1,1,4
0.0,video show elisa carrió deputi nation autonom citi bueno air call march freedom,128,22,0,0,0,1,1,1,1,4
0.0,cristiano ronaldo convert hotel coronavirus hospit,70,9,0,0,0,1,1,1,1,4
0.0,doctor die colombia cure 6 patient coronavirus,66,11,0,0,0,1,1,1,1,4
0.0,video muslim violat lockdown condit old citi hyderabad,72,10,0,0,0,1,1,1,1,4
0.0,link covid19 5g hidden,50,9,0,0,0,1,1,1,1,4
0.0,netflix give away free account coronavirus quarantin,64,8,0,0,0,1,1,1,1,4
0.0,report visit british prime minist bori johnson recov ill home look like old abandon militari hut old brick wall live room small brought tea tray report cup differ met dishevel hair casual cloth confid smile prime minist,385,67,1,1,0,1,1,1,1,4
0.0,screen captur cover new york time accompani text assur newspap brand govern spain communist,175,32,0,0,0,1,1,1,1,4
0.0,senat grace poe risa hontivero franci kiko pangilinan franklin drilon cynthia villar ralph recto refus aid philippin coronavirus pandem,185,26,0,0,0,1,1,1,1,4
0.0,photograph claim pavilion set madrid bed homeless peopl,109,20,0,0,0,1,1,1,1,4
0.0,whatsapp messag claim washington post confirm origin sarscov2 secur breach laboratori wuhan,152,26,0,0,0,1,1,1,1,4
0.0,peopl violat quarantin measur ukrain imprison,79,12,0,1,1,0,0,0,0,0
0.0,gujarat india chief minist vijay rupani resign accept bjp high command,95,14,0,0,0,1,1,1,1,4
0.0,video kenya govern maasai tribe man impos social distanc kenya,93,16,0,0,0,1,1,1,1,4
0.0,tasuku honjo nobel prize medicin said coronavirus natur,83,13,0,0,0,1,1,1,1,4
0.0,actor daniel radcliff test posit covid19,53,7,0,0,0,1,1,1,1,4
0.0,remedi recip 1 boil tea bitter melon 2 lemon juic salt chines mesona,91,16,0,0,0,1,1,1,1,4
0.0,video show wuhan market virus come,62,11,1,1,0,1,1,1,1,4
0.0,french professor didier raoult director ihu marseill told african bill gate vaccin coronavirus poison,154,22,0,0,0,1,1,1,1,4
0.0,dr chao chien kuo wuhan central hospit said drink alcohol prevent covid19,91,14,0,0,0,1,1,1,1,4
0.0,video fbi raid caption say agent seiz chines n95 mask contamin covid19,127,22,0,0,0,1,1,1,1,4
0.0,washington post claim new coronavirus creat wuhan lab,75,13,0,1,1,0,0,0,0,0
0.0,facebook post claim covid19 pandem,59,10,1,1,0,1,1,1,1,4
0.0,ronaldo caiado governor brazilian state goiá beaten lockdown decre galleri photo prove,129,22,0,0,0,1,1,1,1,4
0.0,jordanian health minist testifi million tell world truth covid19,103,15,0,1,1,0,0,0,0,0
0.0,entir famili santolan pasig confirm infect novel coronavirus accord look like break news graphic gma news,166,27,0,0,0,1,1,1,1,4
0.0,post say 32220 793 peopl die itali includ 232 kid,78,15,0,0,0,1,1,1,1,4
0.0,policeman infect coronavirus ecuador,54,7,0,0,0,1,1,1,1,4
0.0,chain messag whatsapp invit popul process cash bond deliv mexican govern agenc quarantin,137,21,0,0,0,1,1,1,1,4
0.0,mtn uganda give 122gb data custom free respons covid19,86,16,0,0,0,1,1,1,1,4
0.0,news bulletin 2015 prove covid19 creat laboratori wuhan,88,15,0,0,0,1,1,1,1,4
0.0,viral text messag claim fda approv use chloroquin covid19 patient pharma compani novarti announc studi prove chloroquin cure covid19,191,29,0,0,0,1,1,1,1,4
0.0,video show presid trump psychic white hous pray covid19 pandem ceas soon,119,22,0,0,0,1,1,1,1,4
0.0,video doctor faint floor get infect coronavirus,80,13,0,0,0,1,1,1,1,4
0.0,tabletop exercis model current outbreak predict 65 million peopl die coronavirus,120,19,0,0,0,1,1,1,1,4
0.0,hospit 2200 bed construct gujarat india 6 day,77,14,0,0,0,1,1,1,1,4
0.0,south african presid cyril ramaphosa ask foreign leav countri june 21 respons spread covid19,132,22,1,0,0,1,1,1,1,4
